id,name,link
1,델리민주,NULL
2,10cm,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%8B%AD%EC%84%BC%EC%B9%98&os=183644&ie=utf8&key=PeopleService
3,거미,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EA%B1%B0%EB%AF%B8&os=93989&ie=utf8&key=PeopleService
4,케빈오&천단비,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%BC%80%EB%B9%88%EC%98%A4&os=3017280&ie=utf8&key=PeopleService
5,나인뮤지스,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EB%82%98%EC%9D%B8%EB%AE%A4%EC%A7%80%EC%8A%A4&os=181934&ie=utf8&key=PeopleService
6,I.O.I,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%95%84%EC%9D%B4%EC%98%A4%EC%95%84%EC%9D%B4&os=3487677&ie=utf8&key=PeopleService
7,에픽하이,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%97%90%ED%94%BD%ED%95%98%EC%9D%B4&os=96436&ie=utf8&key=PeopleService
8,마마무,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EB%A7%88%EB%A7%88%EB%AC%B4&os=1725756&ie=utf8&key=PeopleService
9,벤,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EA%B0%80%EC%88%98%EB%B2%A4&os=189493&ie=utf8&key=PeopleService
10,San E,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=sane&os=161204&ie=utf8&key=PeopleService
11,도끼&더콰이엇,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EB%8F%84%EB%81%BC&os=118255&ie=utf8&key=PeopleService
12,길구봉구,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EA%B8%B8%EA%B5%AC%EB%B4%89%EA%B5%AC&os=562184&ie=utf8&key=PeopleService
13,싸이,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%8B%B8%EC%9D%B4&os=94576&ie=utf8&key=PeopleService
14,긱스,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EA%B8%B1%EC%8A%A4&os=214738&ie=utf8&key=PeopleService
15,아이유,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%95%84%EC%9D%B4%EC%9C%A0&os=159229&ie=utf8&key=PeopleService
16,지코 (ZICO),http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EB%B8%94%EB%9D%BD%EB%B9%84%EC%A7%80%EC%BD%94&os=217535&ie=utf8&key=PeopleService
